file_name,transcription
COD_02589.wav,"Kama diidine waxay Feysbuug ku sameysatay Magaca oo ah Gabar Shidan oo Qanciye deris ahan jireen, "
COD_01215.wav," sidaas ayaana dad badan loo dhacay, oo waxaa ilaa shalay i soo wacayay dad sidaas lacag looga qaatay "
COD_02846.wav,"markaa ayuu ku yidhi seedi xaalka ka waran, maxaad maanta u socotay?. "
COD_05214.wav,Rajadu raasaamaalka nolosha weeyi 
COD_00890.wav,"halkaas oo ay cusbo ka soo rartaan; halka ay ragguna u sii jarmaadayaan koonfurta magaalada, "
COD_01987.wav,Wiilka curashadiisa fool ayaa ka horreyso. 
COD_00752.wav,Waa seddax war oo waaweyn oo ay ahayd in warbaahinta qabsadaan iyo horumarro dhab ah oo ay Soomaaliya ku tallaabsatay.
COD_05857.wav,Sawirka hoos ka muuqda waxaan ka soo xigtay barta Gety images 
COD_00733.wav,"loona yaqaanno buundada iloowshiyaha, maadaama ay ku hilmaamsiineyso wax kaste oo aad xusuusneyd."
COD_00633.wav,"Miyaadan arag sida erayada carabiga ahi ay ugu badan yihiin Afafka Amxaariga, Sawaaxiliga iyo Oromada khubaradooda afkuna aysan u cargaageyn sida qaarkeen oo kale? "
COD_02697.wav,"Galabkii Qanciye oo Guriga soo gelayo waxay iridka ku kulmeen Maamo Malyuun oo sii bexeysa, "
COD_03286.wav,Waxaan ku sameynaynaa tiro koob ciidanka aan haysano
COD_05252.wav, Maankaaga iyo jirkaagaba ha firfircoonaadaan.
COD_00296.wav,"Habar hooyaddii dhashay cidlo uga dhaqaaday, oo meydka hooyadeed laga dhex helay gurigii ay degganeed kaligeed,"
COD_06523.wav,"ayaa sheegay in dowladda Federaalka Soomaaliya ay ka gacan-siinayaan arrimaha hortebinta u leh oo ay ugu horreeyaan la wareegidda amniga guud ee dalka,"
COD_00554.wav,"Ma xasuusataa inta jeer ee aad khalad samaysay ee macallinkaaga, waalidkaa, deriskaaga, ama dad kale ay iska kaa cafiyeen? "
COD_03944.wav,"kuna yiri : Waxana kugula talinayaa inaad niyadaada ka dhaadhicisid inaadan xanuusanayn,"
COD_04764.wav,laakiin quburadan ku taqasuustay dilalka qorsheysan waxay isticmalaan waxyaabo kale duwan.
COD_05097.wav,Mar walba waxaan ku fikiri jiray in ay Khasab tahay inaan booqdo qabriga aabeheey
COD_00528.wav,Qoraagu ma dareemi karin maadaama uu yaraa isbeddel-ka degdegga ah ee ka muuqday wejiga Mr. Jones. 
COD_01464.wav,"Markii aan joognay TikTok wuxuu ahaa meel lagu qaraaxeysto, "
COD_00128.wav,"Markaas ayey go’aansatay inay wax ka badasho sheekooyinka qaldan ee laga sheego wadanka, dadkana la wadaagto sheekooyin wanaagsan iyadoo isticmaalaysa gabayga. "
COD_04730.wav,"Sidoo kale, waxay filayaan qaab u dhigma in ay raacaan kuwa kale."
COD_06268.wav,"oo ka mid ah siyaasiyiinta Koofur Galbeed kasoo jeeda, wuxuuna siiyay wareysi uu arrintaan kaga hadlayo warbaahinta Risaala."
COD_03169.wav,"in midi uu ka shaqeeyo sidii ay neef lagiisa iyo badhidiisaba ku cuni lahaayeen, "
COD_02963.wav,sido kale uu dareen sanaa haduu toos u dabaasho inuu sida biyiha usoo shiiri doono oo ay oogadiisa iyo dharkaba hallaabi doonaan 
COD_01064.wav,"tabankaas sano waxaan nasiib u helay in aan wax ka dhigo dugsi hoose, dhexe, sare iyo jaamacad. "
COD_02743.wav,dhib iyo rafaad badan kaddib ayuu keenay isaga oo neefkii sida.
COD_02215.wav,"Bidaar sibiq ayay kugu gashaa, shacab iyo dowladba aan ku baraarugno khatarta ka dhalan karta bannaanbaxyadaas iyo falcelinta gurracan ee dowladdu sameysay. "
COD_03728.wav,"Markii ay boqortooyadii Roomaanka qabsatay halkaas, Hegra waxay noqotay magaalo ka tirsan xukunkii Roma."
COD_02286.wav,Guddoomiyaha Xisbiga Midnimo iyo Dimuqraadiyada Salaad Cali Jeelle oo maanta Khudbad qiimo leh ka jeediyay daah furka Garoonka diyaaradaha magaalada Garowe 
COD_01177.wav,"Tiro iyo xisaabna ma leh inta jeer ee Itoobiyaanku aag ka galeen agagaarka iskuulka, ee sidaas go'doon ku galnay. "
COD_04624.wav,Waa maxay guushu sideese aad ku gaari kartaa?
COD_04682.wav,haddii kale waxaa ku mashquulin doona cida adiga kugu heeraarsan sida asxaabtaada iyo hawlo kale oo hadafkaaga dib-u-dhac u keeni kara. 
COD_02865.wav,Odayaashii ayaa faraskii markay eegeen waxay arkeen in uu farasku waxba qabin oo labada indhoodba caadi yihiin. 
COD_04758.wav,in qofka bishii loo soo diro lacagti mushaarka ayaa haddana la barayaa sidda uu qofka uu u maamuli lahaa qarashaadka soo gala.
COD_04381.wav,cigaal shudaal waxa uu ahaa nin nin dhalay oo geesi ah
COD_02568.wav,"Abul-Caas wuu aqbalay, wuxuuna ku laabtay magaalada Makka. "
COD_02798.wav,Sidaas darteed waxay isku dayaan inay dhexdhexaadiyeyaal ama nabadoonno u noqdaan kan weyn iyo kan yar.
COD_03332.wav,haddii ninka madaxweynuhu ah uu Raiisulwasaaraha uu ku keeno dan guud  waa inoo keenaa qof fiican  
COD_03258.wav,"awoodda baarlamaanka ayaa iska leh, hay’adda ugu sarreyso sharci dajinta waa baarlamaanka  kaalintoodana marna  kama bixi karaan ."
COD_04566.wav,laakiin taasi macnaheeda ma ahan inaad ku guuldarreysanayso.
COD_05719.wav,Waxse kuu dhiman Adoo Waaroo An wedba lahayn
COD_01632.wav,Iridda isbitaalkana waxaa taagan carruur iyo haween fasemask ka iibinaya dadka soo gelaya. 
COD_02122.wav,Saaxiibkey Cabdullaahi Baazi Cabdullaahi waa wiil fariid ah oo aan deris nahay.
COD_05626.wav,"Waxaa la yidhi seddex tuug ayaa maalin soo xaday hanti ku filan inta nolashooda ka dhiman, "
COD_03044.wav,"Waxa jiray nin wadaad ah oo la odhan jiray fiqishinni, waxana uu wadaad u ahaa dadka gayiga ku nool iyo boqorkaba. "
COD_01212.wav,laakiin lambarka kale ayaan kaaga soo baaqaa ee iigu soo dir.
COD_03266.wav,"marka halsano see  wax loogu qabanayaa, marka waxaa loo baahanyahay in arrintaasi  wax badan laga badalo ."
COD_00993.wav,Sidaas waxaa kaaga maqan lix iyo taban dollar. Magac kale uma haayo ee lacagtaas qaraabasalaan u aqoonso.
COD_07253.wav,nolosha farxadda ah in cid kasta ay yeelan karto laakiin lagu kala duwan yahay marka xaaladaha qaar yimaadaan. 
COD_01842.wav,Macallinka iyo ciyaartoyda Wartanabadda waxaan u rajaynayaa in ay wax fiican soo sameeyaan.
COD_03574.wav,"Nimankii hubeysanaa oo aad u careysnaa waxey ninkeyga waydiiyeen inuu sheego meesha uu geeyey jaadkii, "
COD_05132.wav,Markan Maraykanka waxa uu damacsan yahay inuu kor u qaado maalgelinta ganacsiyada gaarka ah
COD_02008.wav,"Dacwada baddu waxay afar sano taagan tahay meeshii aan uga tagnay, saddex jeer ayaa dacwada dib loo dhigay, "
COD_05445.wav,Sida laga soo xigtay xarunta Goldman Sachs 
COD_02301.wav,"Markaan fiiriyay, hadalkiisana gudaha usii galay ma ahan wax isaga kasoo maaxday, waxaanan fahmay in hadalkiisa uu yahay minguuris"
COD_04825.wav,Qasri uu xaaskiisa ugu talo galay ayuu gees ka dejiyey wiilkii.    
COD_05421.wav,Iibka guryaha ee Shiinaha ayaa hoos u dhacayay 11 bil oo xiriir ah
